Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,Access 2010,Standard,Original Release,,Fixed,15/07/2010,13/10/2020,-2142,Out of Support
,Access 2013,Standard,Original Release,,Fixed,09/01/2013,11/04/2023,-1232,Out of Support
,Access 2016,Standard,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Access 2019,Standard,RTM,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Advanced Threat Analytics 1.X,,Original Release,,Fixed,25/11/2015,13/01/2026,-224,Out of Support
,Adxstudio Portals v6.x or prior,,Original Release,,Fixed,29/09/2015,12/04/2016,-3787,Out of Support
,Adxstudio Portals v7.x,,v7.x,,Fixed,29/09/2015,01/08/2018,-2946,Out of Support
,Alacris Identity Validation Server/Client,,Original Release,,Fixed,07/03/2006,31/12/2007,-6812,Out of Support
,Apache Spark pool,,,Runtime for Apache Spark 3.3,,,31/03/2025,-512,Out of Support
,Api Management,,,Support for TLS 1.0 and 1.1,,,31/10/2024,-663,Out of Support
,Api Management,,,Trusted service connectivity,,,15/03/2026,-163,Out of Support
,API Management stv1,,stv1,,Modern,20/09/2016,31/08/2024,-724,Out of Support
,App service,,, Support for Node 20 LTS,,,30/04/2026,-117,Out of Support
,App service,,,.NET 9 (STS),,,12/05/2026,-105,Out of Support
,App service,,,Python 3.9 on Azure Functions,,,31/10/2025,-298,Out of Support
,App service,,,Support for PHP 8.1,,,31/12/2025,-237,Out of Support
,App Service Environment version 1 and 2,,Version 1 and 2,,Modern,29/04/2015,31/08/2024,-724,Out of Support
,AppFabric 1.1 for Windows Server,,Original Release,,Fixed,11/02/2012,12/04/2022,-1596,Out of Support
,Application gateway,,,Support for TLS 1.0 and 1.1,,,31/08/2025,-359,Out of Support
,Application gateway,,,V1,,,28/04/2026,-119,Out of Support
,Application Insights,,,Classic,,,29/02/2024,-908,Out of Support
,AssetMetrix,,Original Release,,Modern,01/12/2007,08/07/2008,-6622,Out of Support
,Azure Active Directory (AD) Connect,,Version 1.x,,Modern,01/09/2014,31/08/2022,-1455,Out of Support
,Azure Active Directory (AD) Connect,,Version 2.x,,Modern,30/09/2021,31/12/2099,26791,Out of Support
,Azure Basic Load Balancer,,Original Release,,Modern,30/06/2015,30/09/2025,-329,Out of Support
,Azure BizTalk Services,,Original Release,,Modern,21/11/2013,31/05/2018,-3008,Out of Support
,Azure Cache for Redis on Cloud Services (Classic),,Azure Cache for Redis on Cloud Services (Classic),,Modern,25/09/2014,31/08/2024,-724,Out of Support
,Azure Classic Administrator Roles,,Classic Administrator,,Modern,01/02/2010,31/08/2024,-724,Out of Support
,Azure Cloud Services (classic),,Original Release,,Modern,27/10/2008,31/08/2024,-724,Out of Support
,Azure Container Service,,Original Release,,Modern,18/04/2016,31/01/2020,-2398,Out of Support
,Azure CycleCloud,,Original Release,,Modern,01/08/2018,31/12/2099,26791,Out of Support
,Azure Data Lake Storage Gen1,,Original Release,,Modern,26/01/2016,29/02/2024,-908,Out of Support
